Gene_acc,PG.ProteinAccessions,WT1,WT2,WT3,11-1,11-2,11-3,Desc
0,GFP.BLA,24049.328125,8643.076171875,233146.765625,573144.5,510369.40625,730308.625,GFP.BLA
2,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,105992.4140625,104424.3046875,95841.265625,74861.46875,79082.046875,70146.1875,"hypothetical protein, conserved"
3,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,719534,666796.5,687609.1875,544185.5625,620932.9375,652034.25,"major vault protein, putative"
4,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,24402.216796875,26929.810546875,84383.25,130475.625,56283.15625,56942.65234375,"hypothetical protein, conserved"
5,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,137383.625,140133.71875,118379.6484375,188637.3125,149604.171875,146555.859375,"paraflagellar rod component par4, putative"
6,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,7411979,6130297.5,5483654,7183208.5,6771144,6719057,"ras-like small GTPase, putative"
7,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,171950.75,153788.03125,131874.5,132452.296875,146427.5625,153770.5625,Kinetochore interacting protein 1
10,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,3039727.25,2946103.25,2647832,2509376.25,2589668.75,2495318.5,"guanine deaminase, putative"
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,355834.65625,438394.71875,411358.78125,252470.140625,365986.53125,266154.34375,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,120099.4375,120516.109375,119073.0078125,102072.8984375,98530.203125,75714.328125,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1974610.125,1907836.375,1875587.25,1914690.25,2109492.5,2038994.375,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,184386.96875,93671.96875,131055.296875,104118.546875,98612.78125,109085.34375,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,241944.5,393527.78125,496818.8125,349390.46875,328070.53125,275067.34375,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,39931.08984375,37696.015625,41107.90625,29421.005859375,16179.64453125,14611.7177734375,"hypothetical protein, conserved"
